PROJNUM,Total_Terrain_Types,Terrain_Type_List
19990846,2,"passage, road"
19990847,2,"passage, road"
19990848,2,"passage, road"
19990865,2,"passage, road"
19990898,2,"riparian, upland"
19990899,2,"riparian, upland"
19990900,2,"instream, riparian"
19990901,2,"instream, riparian"
19990907,2,"riparian, upland"
19990911,2,"instream, riparian"
19990932,2,"riparian, wetland"
19990937,2,"riparian, upland"
19990950,2,"passage, road"
19990957,3,"instream, passage, road"
19990958,2,"passage, road"
19990959,2,"passage, road"
19990964,2,"passage, road"
19990979,2,"instream, riparian"
19990983,2,"instream, riparian"
19990988,2,"riparian, upland"
19990989,4,"instream, riparian, passage, upland"
19990990,2,"instream, passage"
19991006,2,"riparian, upland"
19991008,4,"instream, riparian, upland, estuarine"
19991010,2,"instream, riparian"
19991014,3,"instream, riparian, wetland"
19991020,3,"instream, riparian, passage"
19991021,2,"passage, flow"
19991031,3,"instream, riparian, passage"
19991033,2,"instream, riparian"
19991038,2,"instream, riparian"
19991039,2,"instream, riparian"
19991050,2,"instream, riparian"
19991058,2,"riparian, upland"
19991059,2,"riparian, upland"
19991067,2,"riparian, upland"
19991068,2,"riparian, upland"
19991070,2,"riparian, upland"
19991071,2,"riparian, upland"
19991072,2,"riparian, upland"
19991074,2,"riparian, upland"
19991075,2,"riparian, upland"
20000021,2,"instream, passage"
20000025,3,"instream, riparian, road"
20000026,3,"instream, riparian, road"
20000029,2,"riparian, road"
20000030,2,"riparian, road"
20000031,2,"riparian, road"
20000033,2,"riparian, road"
20000034,2,"riparian, road"
20000041,3,"instream, riparian, road"
20000043,2,"instream, passage"
20000046,2,"instream, road"
20000047,2,"instream, riparian"
20000048,2,"instream, riparian"
20000064,2,"instream, riparian"
20000066,2,"instream, riparian"
20000078,2,"riparian, passage"
20000084,2,"passage, road"
20000089,2,"passage, road"
20000095,2,"instream, passage"
20000133,3,"instream, riparian, passage"
20000134,2,"instream, riparian"
20000135,2,"instream, passage"
20000142,3,"instream, riparian, wetland"
20000144,2,"passage, road"
20000146,2,"passage, road"
20000152,2,"passage, road"
20000153,2,"passage, road"
20000157,2,"passage, road"
20000166,2,"passage, road"
20000167,2,"passage, road"
20000170,2,"passage, road"
20000175,2,"passage, road"
20000182,3,"instream, passage, road"
20000188,2,"passage, road"
20000197,2,"passage, road"
20000436,2,"riparian, wetland"
20000438,2,"riparian, upland"
20000439,2,"riparian, upland"
20000440,2,"riparian, upland"
20000448,2,"riparian, upland"
20000453,2,"riparian, upland"
20000454,2,"riparian, upland"
20000455,2,"riparian, upland"
20000459,2,"riparian, upland"
20000461,2,"riparian, upland"
20000465,2,"riparian, upland"
20000491,2,"passage, road"
20000493,2,"passage, road"
20000495,2,"passage, road"
20000502,2,"passage, road"
20000518,2,"passage, road"
20000547,2,"passage, road"
20000552,2,"instream, wetland"
20000568,3,"instream, riparian, upland"
20000592,3,"instream, passage, road"
20000594,3,"instream, riparian, road"
20000595,2,"instream, riparian"
20000607,2,"passage, road"
20000614,2,"riparian, passage"
20000621,2,"riparian, upland"
20000698,2,"instream, riparian"
20000700,2,"riparian, upland"
20000713,2,"riparian, upland"
20000716,2,"riparian, upland"
20000717,2,"riparian, upland"
20000718,2,"riparian, upland"
20000750,2,"riparian, passage"
20000751,2,"passage, upland"
20000752,2,"passage, road"
20000755,2,"passage, road"
20000756,2,"passage, road"
20000777,2,"passage, road"
20000781,2,"passage, road"
20000786,2,"passage, road"
20000791,2,"passage, road"
20000795,2,"instream, riparian"
20000797,2,"instream, riparian"
20000798,2,"instream, riparian"
20000801,2,"instream, riparian"
20000803,2,"instream, riparian"
20000804,2,"instream, riparian"
20000892,2,"passage, road"
20000900,2,"passage, road"
20000903,2,"passage, road"
20000904,2,"passage, road"
20000906,2,"passage, road"
20000911,2,"passage, road"
20000912,2,"passage, road"
20000914,2,"passage, road"
20000915,2,"passage, road"
20000916,2,"passage, road"
20000917,2,"passage, road"
20000919,2,"passage, road"
20000921,2,"passage, road"
20000922,2,"passage, road"
20000927,2,"passage, road"
20000931,2,"passage, road"
20000969,2,"riparian, wetland"
20000972,2,"riparian, upland"
20000977,2,"riparian, upland"
20000982,2,"passage, road"
20000983,2,"passage, road"
20000996,2,"passage, road"
20001046,2,"instream, riparian"
20001047,2,"instream, riparian"
20001048,2,"instream, riparian"
20001049,2,"instream, riparian"
20001051,2,"passage, screening"
20001056,2,"passage, screening"
20001060,2,"passage, screening"
20001084,2,"passage, road"
20001093,2,"passage, road"
20001094,2,"passage, road"
20001124,2,"instream, riparian"
20001127,2,"riparian, upland"
20001128,3,"instream, riparian, wetland"
20001141,2,"instream, road"
20001144,2,"instream, riparian"
20001145,2,"instream, riparian"
20001158,2,"instream, riparian"
20001159,4,"instream, riparian, passage, screening"
20001178,2,"instream, riparian"
20001181,2,"instream, riparian"
20001185,2,"instream, riparian"
20001189,2,"instream, passage"
20001193,3,"riparian, road, wetland"
20001195,2,"riparian, upland"
20001198,2,"riparian, upland"
20001200,2,"riparian, upland"
20001202,3,"riparian, road, upland"
20010036,2,"instream, passage"
20010053,2,"riparian, passage"
20010054,2,"riparian, passage"
20010055,2,"riparian, passage"
20010104,2,"passage, road"
20010105,2,"passage, road"
20010115,2,"riparian, upland"
20010122,2,"passage, road"
20010130,2,"passage, road"
20010139,2,"riparian, upland"
20010160,2,"passage, road"
20010181,2,"passage, road"
20010189,2,"passage, road"
20010191,2,"passage, road"
20010194,2,"passage, road"
20010195,2,"passage, road"
20010197,2,"passage, road"
20010198,2,"passage, road"
20010199,2,"passage, road"
20010200,2,"passage, road"
20010201,2,"passage, road"
20010202,2,"passage, road"
20010206,2,"passage, road"
20010207,2,"passage, road"
20010215,2,"passage, road"
20010216,2,"passage, road"
20010217,2,"passage, road"
20010218,2,"passage, road"
20010238,2,"riparian, wetland"
20010242,2,"riparian, wetland"
20010259,2,"riparian, wetland"
20010263,2,"riparian, wetland"
20010313,2,"passage, road"
20010326,2,"passage, road"
20010335,2,"passage, road"
20010340,2,"passage, road"
20010343,2,"passage, road"
20010347,2,"passage, road"
20010348,2,"passage, road"
20010559,2,"passage, road"
20010591,2,"passage, road"
20010607,2,"passage, road"
20010608,2,"passage, road"
20010612,2,"passage, road"
20010613,2,"passage, road"
20010620,2,"passage, road"
20010627,2,"passage, road"
20010644,3,"riparian, passage, upland"
20010645,2,"riparian, upland"
20010646,3,"riparian, passage, upland"
20010679,2,"instream, riparian"
20010680,2,"instream, riparian"
20010681,2,"instream, riparian"
20010689,2,"instream, riparian"
20010808,2,"road, upland"
20010815,2,"road, upland"
20010816,2,"instream, riparian"
20010817,2,"road, upland"
20010826,2,"instream, upland"
20010828,2,"road, upland"
20010829,2,"road, upland"
20010880,4,"instream, riparian, passage, upland"
20010895,2,"riparian, upland"
20010896,2,"riparian, upland"
20010901,2,"riparian, upland"
20010909,2,"riparian, upland"
