PROJNUM,ActivityType
19971219,Combined
19971222,Riparian
19971223,Combined
19971224,Riparian
19971225,Combined
19971226,Combined
19971227,Riparian
19971227,Upland
19971228,Combined
19971229,Combined
19971230,Combined
19971231,Instream
19971231,Riparian
19971232,Instream
19971233,Instream
19971233,Road
19971234,Riparian
19971235,Road
19971236,Road
19971237,Road
19971238,Road
19971239,Road
19971240,Road
19971241,Road
19971242,Instream
19971243,Road
19971244,Road
19971245,Road
19971246,Road
19971247,Riparian
19971248,Fish Passage
19971249,Fish Passage
19971250,Instream
19971251,Fish Passage
19971252,Fish Passage
19971253,Combined
19971254,Fish Passage
19971255,Riparian
19971256,Instream
19971257,Instream
19971258,Riparian
19971259,Riparian
19971260,Riparian
19971261,Riparian
19971262,Fish Passage
19971263,Riparian
19971264,Instream
19971265,Fish Passage
19971266,Riparian
19971267,Riparian
19971268,Fish Passage
19971269,Riparian
19971270,Riparian
19971271,Riparian
19971272,Combined
19971273,Fish Passage
19971274,Fish Passage
19971275,Road
19971276,Road
19971277,Combined
19971280,Riparian
19971281,Combined
19971282,Combined
19971283,Fish Passage
19971284,Riparian
19971285,Combined
19971286,Instream
19971287,Combined
19971288,Instream
19971288,Riparian
19971289,Combined
19971290,Instream
19971291,Riparian
19971292,Combined
19971294,Road
19971295,Combined
19971296,Road
19971298,Road
19971299,Road
19971300,Riparian
19971301,Riparian
19971302,Riparian
19971303,Riparian
19971304,Riparian
19971305,Riparian
19971306,Riparian
19971307,Combined
19971308,Instream
19971309,Combined
19971310,Combined
19971311,Road
19971312,Riparian
19971313,Road
19971314,Riparian
19971315,Riparian
19971316,Road
19971317,Fish Passage
19971318,Fish Passage
19971319,Fish Passage
19971320,Fish Passage
19971321,Fish Passage
19971322,Fish Passage
19971323,Road
19971324,Road
19971329,Road
19971330,Combined
19971331,Road
19971334,Road
19971335,Road
19971337,Road
19971338,Combined
19971340,Road
19971341,Instream
19971341,Road
19971342,Road
19971343,Road
19971346,Road
19971349,Road
19971351,Road
19971353,Combined
19971354,Combined
19971355,Road
19971358,Road
19971363,Fish Passage
19971364,Fish Passage
19971365,Fish Passage
19971367,Instream
19971377,Upland
19971378,Combined
19971379,Upland
19971380,Combined
19971381,Upland
19971382,Fish Passage
19971383,Fish Passage
19971384,Combined
19971385,Combined
19971386,Combined
19971387,Combined
19971388,Combined
19971389,Combined
19971390,Combined
19971391,Combined
19971392,Combined
19971393,Fish Passage
19971394,Instream
19971395,Riparian
19971396,Fish Passage
19971397,Riparian
19971398,Riparian
19971399,Combined
19971400,Road
19971401,Road
19971402,Instream
19971403,Riparian
19971404,Combined
19971405,Combined
19971406,Riparian
19971407,Riparian
19971408,Riparian
19971409,Instream
19971410,Riparian
19971411,Riparian
19971412,Riparian
19971413,Riparian
19971414,Riparian
19971415,Riparian
19971416,Riparian
19971417,Riparian
19971418,Riparian
19971419,Riparian
19971420,Riparian
19971420,Road
19971421,Combined
19971422,Riparian
19971423,Riparian
19971424,Riparian
19971425,Riparian
19971426,Riparian
19971427,Riparian
19971428,Riparian
19971429,Riparian
19971430,Riparian
19971431,Riparian
19971432,Riparian
19971433,Riparian
19971434,Riparian
19971435,Riparian
19971436,Riparian
19971437,Riparian
19971438,Riparian
19971439,Riparian
19971440,Road
19971441,Road
19971442,Riparian
