PROJNUM,GrantNum
19970704,
19970705,
19970705,
19970705,
19970706,
19970706,
19970706,
19970707,
19970707,
19970707,
19970707,
19970707,
19970708,
19970708,
19970708,
19970709,
19970709,
19970709,
19970710,
19970710,
19970710,
19970711,
19970711,
19970711,
19970711,
19970712,
19970712,
19970712,
19970712,
19970712,
19970713,
19970713,
19970713,
19970714,
19970714,
19970714,
19970715,
19970715,
19970716,
19970717,
19970717,
19970718,
19970719,
19970720,
19970720,
19970721,
19970722,
19970724,
19970725,
19970726,
19970726,
19970727,
19970728,
19970729,
19970730,
19970731,
19970732,
19970733,
19970734,
19970735,
19970736,
19970737,
19970738,
19970739,
19970740,
19970741,
19970742,
19970743,
19970744,
19970745,
19970746,
19970747,
19970748,
19970749,
19970750,
19970751,
19970752,
19970753,
19970754,
19970755,
19970756,
19970757,
19970758,
19970759,
19970760,
19970760,
19970762,
19970763,
19970764,
19970765,
19970766,
19970767,
19970768,
19970769,
19970770,
19970771,
19970772,
19970773,
19970774,
19970775,
19970776,
19970777,
19970778,
19970779,
19970780,
19970781,
19970782,
19970783,
19970784,
19970785,
19970786,
19970787,
19970788,
19970789,
19970790,
19970791,
19970792,
19970793,
19970794,
19970795,
19970796,
19970797,
19970798,
19970799,
19970800,
19970801,
19970802,
19970803,
19970804,
19970805,
19970806,
19970807,
19970809,
19970810,
19970811,
19970812,
19970813,
19970814,
19970815,
19970816,
19970817,
19970818,
19970819,
19970820,
19970821,
19970822,
19970823,
19970824,
19970825,
19970826,
19970827,
19970828,
19970829,
19970830,
19970831,
19970832,
19970833,
19970834,
19970835,
19970836,
19970837,
19970838,
19970839,
19970840,
19970841,
19970842,
19970843,
19970844,
19970845,
19970846,
19970847,
19970848,
19970849,
19970850,
19970851,
19970852,
19970853,
19970854,
19970855,
19970856,
19970857,
19970858,
19970859,
19970860,
19970861,
19970862,
19970863,
19970864,
19970865,
19970866,
19970867,
19970868,
19970869,
19970870,
19970871,
19970872,
19970873,
19970874,
19970875,
19970876,
19970877,
19970878,
19970879,
19970880,
19970881,
19970882,
19970883,
19970884,
19970885,
19970886,
19970887,
19970888,
19970889,
19970892,
19970892,
19970893,
19970893,
19970894,
19970894,
19970895,
19970895,
19970896,
19970896,
19970897,
19970897,
19970900,
19970901,
19970902,
19970904,
19970905,
19970906,
19970907,
19970908,
19970909,
19970910,
19970911,
19970912,
19970913,
19970914,
19970915,
19970916,
19970917,
19970918,
19970919,
19970920,
19970921,
19970922,
19970923,
19970924,
19970925,
19970926,
19970927,
19970928,
19970929,
19970930,
19970931,
19970932,
19970933,
19970934,
19970935,
19970936,
19970937,
19970938,
19970939,
19970940,
19970941,
19970942,
19970943,
19970943,
19970944,
19970945,
19970946,
19970947,
19970948,
19970949,
19970950,
19970951,
19970952,
19970953,
19970954,
19970955,
19970956,
19970957,
19970958,
19970959,
19970960,
19970961,
19970962,
19970963,
19970964,
19970965,
19970966,
19970967,
19970968,
19970969,
19970970,
19970971,
19970972,
19970973,
19970974,
19970975,
19970976,
19970977,
19970978,
19970979,
19970980,
19970981,
19970982,
19970983,
19970984,
19970985,
19970986,
19970987,
19970988,
19970988,
19970988,
19970988,
19970988,
19970988,
19970989,
19970989,
19970989,
19970989,
19970989,
19970989,
19970992,
19970992,
19970993,
19970993,
19970994,
19970994,
19970994,
19970994,
19970994,
19970994,
19970995,
19970995,
19970995,
19970995,
19970995,
19970995,
19970995,
19970995,
19970995,
19970995,
19970996,
19970996,
19970996,
19970996,
19970997,
19970997,
19970997,
19970997,
19970997,
19970997,
19970998,
19970998,
19970998,
19970998,
19970999,
19970999,
19970999,
19970999,
19971000,
19971000,
19971000,SC-007
19971001,
19971001,
19971001,SC-007
19971002,
19971002,SC-007
19971002,
19971003,
19971003,
19971003,SC-007
19971004,SC-007
19971004,97-038
19971004,
19971004,
19971006,
19971006,SC-007
19971006,
19971007,SC-009
19971007,
19971007,
19971007,
19971008,
19971008,
19971009,
19971009,
19971009,
19971010,
19971010,
19971010,
19971011,
19971011,
19971011,
19971012,93-039
19971012,
19971012,
19971013,097-033
19971013,
19971013,
19971013,
19971013,
19971014,097-033
19971014,
19971014,
19971014,
19971014,
19971015,SC-009
19971015,SC-076
19971015,
19971015,
19971015,
19971015,
19971016,SC-009
19971016,097-033
19971016,096-164
19971016,
19971016,
19971016,
19971016,
19971017,097-033
19971017,
19971017,
19971017,
19971017,
19971018,
19971018,
19971019,
19971019,
19971020,
19971020,
19971021,
19971021,
19971022,
19971022,
19971023,
19971023,
19971024,
19971024,
19971024,
19971024,
19971024,"97-037,070"
19971024,
19971024,
19971024,
19971025,
19971025,
19971025,
19971026,SC-009
19971026,
19971026,
19971026,
19971027,
19971027,
19971027,
19971028,
19971028,
19971028,
19971029,SC-009
19971029,
19971029,
19971029,
19971030,
19971030,
19971030,
19971030,
19971030,
19971031,
19971031,096-115
19971031,
19971031,
19971031,
19971031,
19971031,
19971031,
19971032,
19971032,
19971032,
19971032,097-067
19971032,
19971032,
19971033,
19971033,
19971033,097-067
19971033,
19971033,
19971033,
19971034,
19971034,
19971034,097-067
19971034,
19971034,
19971035,
19971035,
19971035,
19971035,097-067
19971036,
19971036,
19971036,
19971036,097-067
19971037,
19971037,
19971037,096-123
19971037,
19971037,
19971037,
19971038,
19971038,096-116
19971038,
19971038,
19971038,
19971039,
19971039,
19971039,
19971040,
19971040,?-?
19971040,
19971041,
19971041,
19971041,
19971041,
19971042,
19971042,
19971042,?-?
19971043,
19971043,
19971043,
19971044,
19971044,
19971044,
19971045,
19971045,
19971045,
19971045,
19971046,
19971046,
19971046,
19971046,
19971047,
19971047,
19971047,
19971048,?-?
19971048,
19971048,
19971049,
19971049,
19971049,97-005
19971050,
19971050,
19971050,
19971050,
19971050,
19971051,
19971051,
19971051,
19971051,
19971052,
19971052,
19971052,
19971052,
19971053,
19971053,
19971053,
19971053,
19971054,
19971054,
19971054,
19971055,
19971055,
19971055,
19971055,?-?
19971055,
19971055,
19971056,
19971056,
19971056,
19971056,?-?
19971057,95-051
19971057,
19971057,
19971058,
19971058,
19971058,
19971059,
19971059,
19971059,
19971059,
19971060,
19971060,
19971060,
19971060,
19971061,
19971061,
19971061,
19971062,
19971062,97-124
19971062,
19971062,
19971063,
19971063,
19971063,97-124
19971065,97-124
19971065,
19971065,
19971065,
19971065,
19971066,
19971066,?-?
19971066,
19971066,
19971067,
19971067,
19971067,?-?
19971067,
19971067,
19971067,
19971068,
19971068,
19971068,
19971069,
19971069,
19971069,
19971069,
19971071,
19971071,SWCD grant
19971071,
19971071,
19971071,
19971071,
19971071,
19971071,
19971072,
19971072,
19971072,
19971073,
19971073,
19971073,
19971074,
19971074,
19971075,
19971075,
19971075,
19971076,
19971076,
19971076,
19971077,
19971077,
19971078,
19971078,
19971079,
19971079,
19971079,
19971079,
19971079,?-?
19971079,
19971079,
19971080,
19971080,
19971081,
19971081,
19971081,
19971081,
19971081,
19971081,
19971082,
19971082,
19971082,
19971082,
19971082,
19971082,
19971083,
19971083,
19971083,
19971083,
19971083,
19971084,
19971084,
19971084,
19971084,
19971084,
19971085,
19971085,
19971085,
19971085,
19971085,
19971085,
19971086,
19971086,
19971086,
19971086,
19971086,
19971086,
19971087,
19971087,
19971087,
19971087,
19971087,
19971087,
19971088,
19971088,
19971088,
19971089,
19971089,
19971089,
19971089,
19971090,
19971090,
19971090,
19971090,
19971090,
19971090,
19971091,
19971091,
19971091,
19971091,
19971091,
19971091,
19971092,
19971092,
19971092,
19971092,
19971092,
19971092,
19971092,
19971093,
19971093,
19971093,
19971093,
19971093,
19971094,
19971094,
19971094,
19971094,
19971094,
19971094,
19971097,
19971097,
19971100,
19971100,
19971101,
19971101,
19971101,
19971102,
19971102,
19971103,
19971103,
19971103,
19971103,
19971103,
19971103,
19971103,
19971104,
19971104,
19971105,
19971105,
19971106,
19971106,
19971107,
19971107,
19971108,
19971108,
19971108,
19971108,
19971108,
19971109,
19971109,
19971109,
19971109,
19971109,
19971110,
19971110,
19971111,
19971111,
19971111,
19971112,
19971112,
19971112,
19971112,?-?
19971112,
19971112,
19971113,
19971113,?-?
19971113,
19971114,
19971114,
19971114,
19971115,97-002
19971115,
19971115,
19971116,93-046
19971116,
19971116,
19971117,
19971117,
19971117,93-046
19971118,
19971118,
19971118,
19971118,93-046
19971119,
19971119,
19971119,
19971119,
19971120,
19971120,
19971120,
19971120,95-016
19971121,
19971121,
19971121,93-046
19971122,
19971122,
19971122,93-046
19971123,
19971123,
19971123,
19971123,
19971124,
19971124,
19971124,95-024
19971125,
19971125,
19971125,
19971125,95-024
19971125,
19971125,
19971125,
19971126,
19971126,
19971126,
19971126,
19971126,
19971127,
19971127,
19971127,
19971127,
19971127,
19971127,
19971127,
19971127,
19971127,SWCD grant
19971128,
19971128,
19971128,
19971128,
19971128,
19971128,
19971128,
19971129,
